Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
syb_souls,Your souls:,Your souls:,,,Ваши души:,,,,,,,,,
syb_respawn,RESPAWN,RESPAWN,,,ВОЗРОЖДЕНИЕ,,,,,,,,,
syb_resp_price,Count of souls to respawn:,Count of souls to respawn:,,,Необходимо душ для возрождения:,,,,,,,,,
syb_removechar,Delete character,Delete character,,,Удалить персонажа,,,,,,,,,
syb_next,NEXT,NEXT,,,ДАЛЕЕ,,,,,,,,,
syb_entername,Enter your name,Enter your name,,,Введите ваше имя,,,,,,,,,
syb_totalpoints,Points: ,Points: ,,,Очки:,,,,,,,,,
syb_features,Features:,Features:,,,Особенности:,,,,,,,,,
syb_start,START,START,,,ИГРАТЬ,,,,,,,,,
syb_spawnselect,Spawn location,Spawn location,,,Точка появления,,,,,,,,,
syb_headgearselect,Headgears,Headgears,,,Головные уборы,,,,,,,,,
syb_bodyselect,Body clothes,Body clothes,,,Верх,,,,,,,,,
syb_pantsselect,Pants,Pants,,,Низ,,,,,,,,,
syb_footwearselect,Footwear,Footwear,,,Обувь,,,,,,,,,
syb_itemsselect,Items,Items,,,Предметы,,,,,,,,,
syb_weaponselect,Weapon,Weapon,,,Оружие,,,,,,,,,
syb_specialselect,Special,Special,,,Особое,,,,,,,,,
syb_male,Male,Male,,,Мужчина,,,,,,,,,
syb_female,Female,Female,,,Женщина,,,,,,,,,
